interview__key,interview__id,ip1,ministere,responsable,sexe,heure_fin,sssys_irnd,has__errors,interview__status,assignment__id,responsable_interne,Code_secteur,q1,q2,q3,q4,q5,q6,q7,q8,q81,q82,q9
00000000018,00000000000000000000000018,IP18,Ministère 2,Responsable 18,Homme,04:50,.68532026,0,2,2050,Resp interne 18,5,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 8,Oui,Défi secteur 3,Défi usagers 2,Non,,,Recommandation 4
00000000019,00000000000000000000000019,IP19,Ministère 20,Responsable 19,Homme,01:17,.74378359,0,2,2114,Resp interne 19,4,insatisfait,Non,,,Oui,Défi secteur 1,Défi usagers 5,Oui,Très,Faible,Recommandation 12
00000000020,00000000000000000000000020,IP20,Ministère 8,Responsable 20,Homme,11:39,.37055779,0,1,2184,Resp interne 20,8,tres_insatisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 4,Oui,Défi secteur 4,Défi usagers 6,Non,,,Recommandation 7
00000000021,00000000000000000000000021,IP21,Ministère 2,Responsable 21,Homme,20:33,.71000683,0,3,2056,Resp interne 21,7,tres_insatisfait,Oui,Changement majeur secteur 7,Changement majeur usagers 5,Oui,Défi secteur 6,Défi usagers 2,Non,,,Recommandation 5
00000000022,00000000000000000000000022,IP22,Ministère 12,Responsable 22,Homme,15:34,.56194711,0,2,2008,Resp interne 22,7,insatisfait,Oui,Changement majeur secteur 1,Changement majeur usagers 4,Oui,Défi secteur 9,Défi usagers 9,Oui,Faible,Élevée,Recommandation 19
00000000023,00000000000000000000000023,IP23,Ministère 10,Responsable 23,Homme,02:44,.15676109,0,3,2189,Resp interne 23,3,satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 1,Non,,,Oui,Moyenne,Faible,Recommandation 16
00000000024,00000000000000000000000024,IP24,Ministère 1,Responsable 24,Femme,05:52,.69161654,0,1,2028,Resp interne 24,6,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 3,Non,,,Oui,faible,Moyenne,Recommandation 7
00000000025,00000000000000000000000025,IP25,Ministère 14,Responsable 25,Femme,06:03,.18404271,0,2,2022,Resp interne 25,7,insatisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 1,Oui,Défi secteur 10,Défi usagers 6,Oui,Élevée,Moyenne,Recommandation 16
00000000026,00000000000000000000000026,IP26,Ministère 6,Responsable 26,Femme,20:42,.55082881,0,3,2183,Resp interne 26,4,ni_insatisfait_ni_satisfait,Non,,,Oui,Défi secteur 5,Défi usagers 7,Oui,Faible,faible,Recommandation 16
00000000027,00000000000000000000000027,IP27,Ministère 16,Responsable 27,Homme,09:02,.25952736,0,3,2081,Resp interne 27,4,tres_satisfait,Oui,Changement majeur secteur 1,Changement majeur usagers 8,Oui,Défi secteur 6,Défi usagers 5,Oui,Moyenne,Moyenne,Recommandation 7
00000000028,00000000000000000000000028,IP28,Ministère 17,Responsable 28,Homme,10:34,.21043101,0,2,2084,Resp interne 28,4,ni_insatisfait_ni_satisfait,Non,,,Non,,,Oui,Élevée,Moyenne,Recommandation 6
00000000029,00000000000000000000000029,IP29,Ministère 11,Responsable 29,Homme,17:10,.68069708,0,2,2178,Resp interne 29,3,insatisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 5,Non,,,Oui,Très,Faible,Recommandation 13
00000000030,00000000000000000000000030,IP30,Ministère 5,Responsable 30,Homme,08:43,.56074488,0,2,2100,Resp interne 30,6,ni_insatisfait_ni_satisfait,Non,,,Oui,Défi secteur 8,Défi usagers 4,Non,,,Recommandation 20
00000000031,00000000000000000000000031,IP31,Ministère 18,Responsable 31,Femme,14:49,.035154991,0,1,2143,Resp interne 31,4,insatisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 8,Oui,Défi secteur 1,Défi usagers 6,Oui,Très,Très,Recommandation 11
00000000032,00000000000000000000000032,IP32,Ministère 13,Responsable 32,Femme,06:22,.14923453,0,2,2101,Resp interne 32,1,tres_satisfait,Non,,,Oui,Défi secteur 6,Défi usagers 8,Non,,,Recommandation 1
00000000033,00000000000000000000000033,IP33,Ministère 17,Responsable 33,Homme,12:08,.061819825,0,3,2008,Resp interne 33,1,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 3,Non,,,Oui,Moyenne,Faible,Recommandation 20
00000000034,00000000000000000000000034,IP34,Ministère 7,Responsable 34,Femme,04:41,.047093108,0,3,2160,Resp interne 34,2,insatisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 6,Oui,Défi secteur 9,Défi usagers 9,Oui,Faible,Moyenne,Recommandation 20
00000000035,00000000000000000000000035,IP35,Ministère 8,Responsable 35,Femme,23:38,.50953263,0,2,2045,Resp interne 35,4,insatisfait,Non,,,Oui,Défi secteur 10,Défi usagers 4,Non,,,Recommandation 11
00000000036,00000000000000000000000036,IP36,Ministère 18,Responsable 36,Homme,05:19,.976969,0,1,2199,Resp interne 36,5,satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 10,Oui,Défi secteur 7,Défi usagers 8,Oui,Moyenne,Faible,Recommandation 18
00000000037,00000000000000000000000037,IP37,Ministère 9,Responsable 37,Homme,16:26,.65630144,0,1,2066,Resp interne 37,1,insatisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 8,Oui,Défi secteur 3,Défi usagers 4,Non,,,Recommandation 17
00000000038,00000000000000000000000038,IP38,Ministère 5,Responsable 38,Homme,09:30,.51921213,0,2,2101,Resp interne 38,6,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 5,Oui,Défi secteur 4,Défi usagers 3,Oui,Très,Très,Recommandation 16
00000000039,00000000000000000000000039,IP39,Ministère 16,Responsable 39,Homme,13:24,.68541491,0,3,2153,Resp interne 39,6,insatisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 3,Oui,Défi secteur 9,Défi usagers 10,Oui,Très,faible,Recommandation 19
00000000040,00000000000000000000000040,IP40,Ministère 19,Responsable 40,Femme,05:59,.33997965,0,3,2140,Resp interne 40,4,tres_insatisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 7,Non,,,Oui,Très,Faible,Recommandation 13
00000000041,00000000000000000000000041,IP41,Ministère 3,Responsable 41,Homme,22:46,.60434246,0,3,2059,Resp interne 41,4,insatisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 9,Oui,Défi secteur 2,Défi usagers 8,Non,,,Recommandation 6
00000000042,00000000000000000000000042,IP42,Ministère 5,Responsable 42,Femme,02:30,.3913525,0,3,2149,Resp interne 42,9,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 7,Oui,Défi secteur 7,Défi usagers 4,Oui,Moyenne,Élevée,Recommandation 9
00000000043,00000000000000000000000043,IP43,Ministère 7,Responsable 43,Homme,09:05,.88791209,0,2,2120,Resp interne 43,4,tres_insatisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 8,Oui,Défi secteur 1,Défi usagers 10,Non,,,Recommandation 13
00000000044,00000000000000000000000044,IP44,Ministère 12,Responsable 44,Homme,19:13,.45206338,0,2,2120,Resp interne 44,5,tres_satisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 4,Oui,Défi secteur 1,Défi usagers 10,Non,,,Recommandation 19
00000000045,00000000000000000000000045,IP45,Ministère 12,Responsable 45,Homme,07:34,.64467591,0,3,2145,Resp interne 45,3,tres_insatisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 2,Non,,,Oui,Très,Très,Recommandation 5
00000000046,00000000000000000000000046,IP46,Ministère 2,Responsable 46,Femme,07:50,.13421555,0,2,2069,Resp interne 46,2,tres_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 7,Non,,,Non,,,Recommandation 10
00000000047,00000000000000000000000047,IP47,Ministère 15,Responsable 47,Femme,00:51,.97715521,0,3,2167,Resp interne 47,7,tres_satisfait,Non,,,Oui,Défi secteur 8,Défi usagers 3,Oui,Très,Faible,Recommandation 18
00000000048,00000000000000000000000048,IP48,Ministère 10,Responsable 48,Homme,07:21,.59256876,0,3,2155,Resp interne 48,1,tres_insatisfait,Oui,Changement majeur secteur 7,Changement majeur usagers 1,Oui,Défi secteur 9,Défi usagers 4,Oui,Très,Faible,Recommandation 1
00000000049,00000000000000000000000049,IP49,Ministère 19,Responsable 49,Homme,12:49,.10278676,0,3,2200,Resp interne 49,8,tres_insatisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 7,Oui,Défi secteur 7,Défi usagers 1,Non,,,Recommandation 3
00000000050,00000000000000000000000050,IP50,Ministère 6,Responsable 50,Homme,16:22,.29666528,0,1,2083,Resp interne 50,7,satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 4,Oui,Défi secteur 5,Défi usagers 5,Oui,Élevée,Moyenne,Recommandation 8
00000000051,00000000000000000000000051,IP51,Ministère 19,Responsable 51,Femme,19:50,.069498919,0,2,2166,Resp interne 51,1,tres_insatisfait,Non,,,Oui,Défi secteur 10,Défi usagers 4,Oui,Moyenne,Moyenne,Recommandation 16
00000000052,00000000000000000000000052,IP52,Ministère 20,Responsable 52,Homme,10:27,.4108032,0,1,2111,Resp interne 52,6,insatisfait,Non,,,Oui,Défi secteur 1,Défi usagers 10,Oui,faible,Moyenne,Recommandation 14
00000000053,00000000000000000000000053,IP53,Ministère 16,Responsable 53,Femme,09:45,.39691204,0,2,2191,Resp interne 53,9,tres_insatisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 10,Oui,Défi secteur 5,Défi usagers 10,Non,,,Recommandation 5
00000000054,00000000000000000000000054,IP54,Ministère 4,Responsable 54,Homme,00:16,.8087765,0,2,2067,Resp interne 54,3,tres_insatisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 1,Oui,Défi secteur 10,Défi usagers 1,Oui,Moyenne,Faible,Recommandation 6
00000000055,00000000000000000000000055,IP55,Ministère 5,Responsable 55,Homme,21:24,.34776035,0,2,2011,Resp interne 55,7,satisfait,Oui,Changement majeur secteur 7,Changement majeur usagers 2,Oui,Défi secteur 3,Défi usagers 10,Non,,,Recommandation 19
00000000056,00000000000000000000000056,IP56,Ministère 17,Responsable 56,Homme,11:59,.64794135,0,1,2079,Resp interne 56,6,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 2,Non,,,Non,,,Recommandation 3
00000000057,00000000000000000000000057,IP57,Ministère 19,Responsable 57,Homme,00:52,.77229965,0,3,2179,Resp interne 57,2,tres_satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 9,Oui,Défi secteur 3,Défi usagers 2,Non,,,Recommandation 6
00000000058,00000000000000000000000058,IP58,Ministère 12,Responsable 58,Homme,02:15,.8976571,0,2,2181,Resp interne 58,2,tres_satisfait,Non,,,Non,,,Oui,Faible,faible,Recommandation 6
00000000059,00000000000000000000000059,IP59,Ministère 9,Responsable 59,Femme,02:09,.074463241,0,2,2174,Resp interne 59,9,tres_insatisfait,Non,,,Oui,Défi secteur 6,Défi usagers 6,Oui,Très,Faible,Recommandation 18
00000000060,00000000000000000000000060,IP60,Ministère 2,Responsable 60,Femme,15:38,.74926871,0,3,2061,Resp interne 60,5,satisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 2,Oui,Défi secteur 4,Défi usagers 10,Oui,Faible,Faible,Recommandation 19
00000000061,00000000000000000000000061,IP61,Ministère 18,Responsable 61,Homme,13:29,.042496055,0,1,2166,Resp interne 61,6,tres_insatisfait,Oui,Changement majeur secteur 1,Changement majeur usagers 4,Non,,,Oui,faible,Très,Recommandation 11
00000000062,00000000000000000000000062,IP62,Ministère 6,Responsable 62,Homme,07:39,.1896964,0,1,2185,Resp interne 62,4,tres_satisfait,Non,,,Non,,,Oui,faible,Faible,Recommandation 6
00000000063,00000000000000000000000063,IP63,Ministère 7,Responsable 63,Femme,15:53,.68803614,0,3,2004,Resp interne 63,3,satisfait,Oui,Changement majeur secteur 2,Changement majeur usagers 6,Oui,Défi secteur 1,Défi usagers 2,Non,,,Recommandation 8
00000000064,00000000000000000000000064,IP64,Ministère 19,Responsable 64,Homme,18:55,.62435865,0,3,2015,Resp interne 64,3,tres_insatisfait,Oui,Changement majeur secteur 1,Changement majeur usagers 1,Oui,Défi secteur 10,Défi usagers 7,Oui,Moyenne,faible,Recommandation 20
00000000065,00000000000000000000000065,IP65,Ministère 7,Responsable 65,Femme,22:29,.30042103,0,2,2095,Resp interne 65,3,tres_insatisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 8,Oui,Défi secteur 2,Défi usagers 9,Oui,faible,Élevée,Recommandation 3
00000000066,00000000000000000000000066,IP66,Ministère 14,Responsable 66,Homme,20:09,.8689633,0,1,2130,Resp interne 66,3,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 10,Oui,Défi secteur 1,Défi usagers 1,Oui,Faible,Faible,Recommandation 4
00000000067,00000000000000000000000067,IP67,Ministère 8,Responsable 67,Femme,00:46,.17603499,0,3,2096,Resp interne 67,6,satisfait,Non,,,Oui,Défi secteur 3,Défi usagers 3,Oui,Élevée,Élevée,Recommandation 16
00000000068,00000000000000000000000068,IP68,Ministère 14,Responsable 68,Homme,08:54,.46216536,0,2,2145,Resp interne 68,7,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 8,Oui,Défi secteur 1,Défi usagers 1,Oui,Faible,faible,Recommandation 9
00000000069,00000000000000000000000069,IP69,Ministère 12,Responsable 69,Femme,03:34,.16528526,0,2,2011,Resp interne 69,2,tres_insatisfait,Oui,Changement majeur secteur 1,Changement majeur usagers 8,Oui,Défi secteur 9,Défi usagers 7,Non,,,Recommandation 15
00000000070,00000000000000000000000070,IP70,Ministère 17,Responsable 70,Femme,14:08,.61221838,0,1,2130,Resp interne 70,6,insatisfait,Non,,,Oui,Défi secteur 10,Défi usagers 6,Non,,,Recommandation 6
00000000071,00000000000000000000000071,IP71,Ministère 18,Responsable 71,Homme,05:40,.77189535,0,3,2106,Resp interne 71,9,tres_satisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 10,Oui,Défi secteur 10,Défi usagers 4,Oui,faible,Moyenne,Recommandation 19
00000000072,00000000000000000000000072,IP72,Ministère 5,Responsable 72,Homme,04:54,.53723186,0,1,2166,Resp interne 72,3,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 10,Oui,Défi secteur 8,Défi usagers 4,Non,,,Recommandation 10
00000000073,00000000000000000000000073,IP73,Ministère 7,Responsable 73,Femme,22:23,.59712553,0,3,2126,Resp interne 73,8,insatisfait,Non,,,Oui,Défi secteur 5,Défi usagers 4,Non,,,Recommandation 17
00000000074,00000000000000000000000074,IP74,Ministère 2,Responsable 74,Homme,23:50,.91108423,0,3,2173,Resp interne 74,9,tres_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 4,Oui,Défi secteur 10,Défi usagers 1,Oui,Moyenne,Élevée,Recommandation 16
00000000075,00000000000000000000000075,IP75,Ministère 14,Responsable 75,Homme,10:29,.35129327,0,1,2132,Resp interne 75,7,tres_satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 5,Non,,,Oui,faible,faible,Recommandation 3
00000000076,00000000000000000000000076,IP76,Ministère 14,Responsable 76,Femme,10:52,.93556321,0,2,2170,Resp interne 76,7,tres_insatisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 8,Non,,,Oui,Moyenne,Faible,Recommandation 5
00000000077,00000000000000000000000077,IP77,Ministère 9,Responsable 77,Homme,09:34,.93234617,0,3,2137,Resp interne 77,8,tres_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 5,Non,,,Oui,Très,Très,Recommandation 17
00000000078,00000000000000000000000078,IP78,Ministère 5,Responsable 78,Homme,23:04,.25339553,0,2,2036,Resp interne 78,9,tres_satisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 5,Oui,Défi secteur 1,Défi usagers 1,Oui,Très,Faible,Recommandation 6
00000000079,00000000000000000000000079,IP79,Ministère 14,Responsable 79,Homme,22:37,.58642304,0,3,2191,Resp interne 79,6,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 2,Changement majeur usagers 3,Oui,Défi secteur 3,Défi usagers 8,Oui,Faible,Faible,Recommandation 15
00000000080,00000000000000000000000080,IP80,Ministère 5,Responsable 80,Homme,08:12,.09120512,0,3,2111,Resp interne 80,5,tres_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 2,Oui,Défi secteur 6,Défi usagers 3,Oui,Moyenne,faible,Recommandation 14
00000000081,00000000000000000000000081,IP81,Ministère 2,Responsable 81,Femme,17:28,.63035959,0,3,2126,Resp interne 81,9,tres_insatisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 1,Non,,,Oui,Très,Faible,Recommandation 12
00000000082,00000000000000000000000082,IP82,Ministère 11,Responsable 82,Homme,22:47,.89572811,0,2,2008,Resp interne 82,2,tres_satisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 6,Oui,Défi secteur 7,Défi usagers 5,Oui,Élevée,Élevée,Recommandation 19
00000000083,00000000000000000000000083,IP83,Ministère 18,Responsable 83,Femme,07:40,.31487229,0,1,2024,Resp interne 83,8,tres_satisfait,Non,,,Non,,,Non,,,Recommandation 3
00000000084,00000000000000000000000084,IP84,Ministère 8,Responsable 84,Homme,11:35,.8607595,0,1,2013,Resp interne 84,9,satisfait,Non,,,Oui,Défi secteur 5,Défi usagers 6,Oui,faible,Moyenne,Recommandation 3
00000000085,00000000000000000000000085,IP85,Ministère 19,Responsable 85,Femme,00:06,.49585202,0,2,2079,Resp interne 85,8,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 6,Oui,Défi secteur 6,Défi usagers 10,Non,,,Recommandation 4
00000000086,00000000000000000000000086,IP86,Ministère 15,Responsable 86,Homme,10:39,.044395611,0,1,2004,Resp interne 86,6,insatisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 1,Non,,,Oui,faible,Élevée,Recommandation 2
00000000087,00000000000000000000000087,IP87,Ministère 7,Responsable 87,Homme,19:35,.72627163,0,2,2041,Resp interne 87,7,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 5,Oui,Défi secteur 2,Défi usagers 6,Oui,Moyenne,Élevée,Recommandation 11
00000000088,00000000000000000000000088,IP88,Ministère 17,Responsable 88,Femme,09:50,.79511678,0,3,2054,Resp interne 88,8,satisfait,Non,,,Non,,,Oui,Élevée,Élevée,Recommandation 11
00000000089,00000000000000000000000089,IP89,Ministère 4,Responsable 89,Femme,05:07,.85080332,0,3,2154,Resp interne 89,4,tres_satisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 8,Oui,Défi secteur 8,Défi usagers 1,Oui,Faible,Faible,Recommandation 6
00000000090,00000000000000000000000090,IP90,Ministère 17,Responsable 90,Homme,22:15,.97905743,0,3,2031,Resp interne 90,8,insatisfait,Oui,Changement majeur secteur 7,Changement majeur usagers 7,Oui,Défi secteur 5,Défi usagers 10,Non,,,Recommandation 9
00000000091,00000000000000000000000091,IP91,Ministère 7,Responsable 91,Femme,07:38,.62382138,0,3,2107,Resp interne 91,4,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 3,Oui,Défi secteur 8,Défi usagers 3,Oui,faible,Moyenne,Recommandation 16
00000000092,00000000000000000000000092,IP92,Ministère 3,Responsable 92,Homme,20:56,.86338502,0,2,2038,Resp interne 92,4,satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 7,Oui,Défi secteur 2,Défi usagers 5,Non,,,Recommandation 20
00000000093,00000000000000000000000093,IP93,Ministère 11,Responsable 93,Homme,20:59,.50306857,0,2,2024,Resp interne 93,9,tres_satisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 4,Oui,Défi secteur 5,Défi usagers 10,Oui,Faible,faible,Recommandation 1
00000000094,00000000000000000000000094,IP94,Ministère 3,Responsable 94,Homme,02:20,.045519147,0,2,2051,Resp interne 94,8,tres_satisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 4,Oui,Défi secteur 8,Défi usagers 9,Oui,faible,Élevée,Recommandation 3
00000000095,00000000000000000000000095,IP95,Ministère 7,Responsable 95,Femme,04:20,.071201034,0,3,2048,Resp interne 95,5,tres_satisfait,Non,,,Oui,Défi secteur 3,Défi usagers 1,Oui,Élevée,Faible,Recommandation 20
00000000096,00000000000000000000000096,IP96,Ministère 6,Responsable 96,Femme,06:32,.57961226,0,3,2043,Resp interne 96,7,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 10,Oui,Défi secteur 10,Défi usagers 1,Oui,faible,Très,Recommandation 13
00000000097,00000000000000000000000097,IP97,Ministère 14,Responsable 97,Homme,01:12,.17317151,0,2,2098,Resp interne 97,7,insatisfait,Non,,,Oui,Défi secteur 9,Défi usagers 10,Non,,,Recommandation 17
00000000098,00000000000000000000000098,IP98,Ministère 8,Responsable 98,Homme,07:24,.83883464,0,2,2062,Resp interne 98,7,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 1,Oui,Défi secteur 8,Défi usagers 10,Oui,Moyenne,faible,Recommandation 10
00000000099,00000000000000000000000099,IP99,Ministère 5,Responsable 99,Homme,04:28,.21448289,0,2,2133,Resp interne 99,7,tres_insatisfait,Oui,Changement majeur secteur 8,Changement majeur usagers 8,Oui,Défi secteur 8,Défi usagers 1,Non,,,Recommandation 11
00000000100,00000000000000000000000100,IP100,Ministère 2,Responsable 100,Homme,19:02,.75252086,0,3,2028,Resp interne 100,5,tres_satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 3,Oui,Défi secteur 10,Défi usagers 1,Oui,Moyenne,Moyenne,Recommandation 4
00000000101,00000000000000000000000101,IP101,Ministère 9,Responsable 101,Femme,02:49,.15788364,0,1,2179,Resp interne 101,3,tres_insatisfait,Oui,Changement majeur secteur 1,Changement majeur usagers 1,Oui,Défi secteur 1,Défi usagers 9,Oui,Faible,Élevée,Recommandation 18
00000000102,00000000000000000000000102,IP102,Ministère 8,Responsable 102,Femme,19:08,.27229229,0,2,2136,Resp interne 102,4,tres_insatisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 7,Oui,Défi secteur 10,Défi usagers 3,Oui,Très,Élevée,Recommandation 18
00000000103,00000000000000000000000103,IP103,Ministère 2,Responsable 103,Homme,22:25,.38945106,0,2,2049,Resp interne 103,8,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 7,Oui,Défi secteur 4,Défi usagers 6,Oui,Faible,Très,Recommandation 12
00000000104,00000000000000000000000104,IP104,Ministère 20,Responsable 104,Femme,03:48,.4211612,0,2,2012,Resp interne 104,9,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 3,Changement majeur usagers 7,Non,,,Oui,Élevée,Élevée,Recommandation 13
00000000105,00000000000000000000000105,IP105,Ministère 15,Responsable 105,Femme,09:51,.43320867,0,1,2067,Resp interne 105,8,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 1,Oui,Défi secteur 8,Défi usagers 10,Oui,Moyenne,Faible,Recommandation 9
