interview__key,interview__id,ip1,localite,structure,code_ppsp,intitule_ppsp,code_agent,sexe_agent_interv,age,handicap_agent_interv,annee_prise_poste,sssys_irnd,has__errors,interview__status,assignment__id,secteur,Code_secteur,qa21,qa22,qa23,qa31,qa32,qa33,qa34,qa35,qa41,qa42,qa43
00000000069,00000000000000000000069000,IP_69,LOC69,Structure_69,367,PPSP_367,837,Homme,50,Non,2021,.59579408,0,129,1839,Secteur_3,5,Oui,Non,Oui,Très insatisfait,Très satisfait,Très satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000000070,00000000000000000000070000,IP_70,LOC70,Structure_70,478,PPSP_478,1154,Homme,54,Non,1996,.8582229,0,90,1743,Secteur_5,3,Oui,Oui,Oui,Très satisfait,Très satisfait,Très insatisfait,Très insatisfait,Un peu motivé,oui,Oui,Non
00000000071,00000000000000000000071000,IP_71,LOC71,Structure_71,472,PPSP_472,945,Femme,26,Non,1994,.63555992,0,130,1448,Secteur_2,3,Non,Non,Oui,Très satisfait,Très insatisfait,Satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Oui
00000000072,00000000000000000000072000,IP_72,LOC72,Structure_72,651,PPSP_651,1392,Femme,34,Non,2009,.48825079,0,69,1720,Secteur_8,8,Oui,Non,Oui,Satisfait,Très insatisfait,Très insatisfait,Très satisfait,Un peu motivé,non,Oui,Oui
00000000073,00000000000000000000073000,IP_73,LOC73,Structure_73,85,PPSP_85,759,Homme,24,Oui,2019,.93579477,0,86,1672,Secteur_9,9,Oui,Oui,Non,Très satisfait,Très insatisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,non,Oui,Non
00000000074,00000000000000000000074000,IP_74,LOC74,Structure_74,157,PPSP_157,1170,Homme,32,Non,1992,.41158172,0,94,1599,Secteur_5,1,Oui,Non,Oui,Très satisfait,Satisfait,Très satisfait,Satisfait,Un peu motivé,non,Oui,Oui
00000000075,00000000000000000000075000,IP_75,LOC75,Structure_75,180,PPSP_180,994,Femme,25,Non,2004,.76356298,0,85,1501,Secteur_9,1,Oui,Non,Oui,Satisfait,Très satisfait,Satisfait,Très insatisfait,Pas dutout motivé,oui,Non,Non
00000000076,00000000000000000000076000,IP_76,LOC76,Structure_76,706,PPSP_706,1992,Homme,39,Non,2003,.9116866,0,127,1489,Secteur_5,7,Oui,Oui,Oui,Satisfait,Très insatisfait,Très insatisfait,Très satisfait,Un peu motivé,pas du tout,Non,Oui
00000000077,00000000000000000000077000,IP_77,LOC77,Structure_77,433,PPSP_433,1317,Femme,47,Non,1998,.62407702,0,105,1824,Secteur_2,9,Non,Oui,Non,Très satisfait,Satisfait,Très insatisfait,Très insatisfait,Un peu motivé,oui,Non,Non
00000000078,00000000000000000000078000,IP_78,LOC78,Structure_78,715,PPSP_715,512,Homme,25,Non,2024,.87527072,0,91,1667,Secteur_8,5,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très satisfait,Satisfait,Pas dutout motivé,oui,Non,Oui
00000000079,00000000000000000000079000,IP_79,LOC79,Structure_79,828,PPSP_828,935,Homme,42,Non,2019,.41537037,0,100,1622,Secteur_8,6,Oui,Non,Non,Très insatisfait,Très satisfait,Satisfait,Très insatisfait,Motivé,non,Oui,Oui
00000000080,00000000000000000000080000,IP_80,LOC80,Structure_80,521,PPSP_521,410,Femme,31,Non,2016,.10810698,0,105,1824,Secteur_7,6,Oui,Oui,Non,Satisfait,Très satisfait,Satisfait,Très satisfait,Pas dutout motivé,pas du tout,Non,Non
00000000081,00000000000000000000081000,IP_81,LOC81,Structure_81,583,PPSP_583,427,Femme,33,Non,2021,.70924526,0,111,1562,Secteur_4,5,Oui,Oui,Oui,Satisfait,Satisfait,Très satisfait,Très insatisfait,Pas dutout motivé,non,Non,Non
00000000082,00000000000000000000082000,IP_82,LOC82,Structure_82,392,PPSP_392,977,Homme,57,Non,2024,.65826601,0,97,1547,Secteur_4,9,Non,Oui,Oui,Satisfait,Très insatisfait,Très insatisfait,Très insatisfait,Motivé,non,Oui,Non
00000000083,00000000000000000000083000,IP_83,LOC83,Structure_83,250,PPSP_250,23,Femme,43,Non,2017,.13914292,0,71,1814,Secteur_8,3,Oui,Oui,Non,Très satisfait,Très insatisfait,Très satisfait,Très satisfait,Pas dutout motivé,non,Oui,Non
00000000084,00000000000000000000084000,IP_84,LOC84,Structure_84,543,PPSP_543,1474,Homme,25,Non,1989,.39668339,0,82,1764,Secteur_6,2,Oui,Oui,Oui,Très insatisfait,Satisfait,Très satisfait,Très insatisfait,Un peu motivé,non,Oui,Oui
00000000085,00000000000000000000085000,IP_85,LOC85,Structure_85,76,PPSP_76,128,Femme,21,Non,2024,.33520377,0,72,1567,Secteur_6,5,Non,Oui,Oui,Très insatisfait,Très satisfait,Satisfait,Très insatisfait,Motivé,non,Oui,Oui
00000000086,00000000000000000000086000,IP_86,LOC86,Structure_86,959,PPSP_959,321,Femme,40,Non,1992,.44950071,0,69,1477,Secteur_2,9,Oui,Non,Non,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Motivé,pas du tout,Oui,Non
00000000087,00000000000000000000087000,IP_87,LOC87,Structure_87,928,PPSP_928,915,Homme,24,Non,2002,.79275656,0,82,1649,Secteur_2,7,Oui,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Oui
00000000088,00000000000000000000088000,IP_88,LOC88,Structure_88,758,PPSP_758,723,Femme,23,Non,1991,.015082472,0,94,1696,Secteur_7,5,Oui,Non,Oui,Très insatisfait,Très insatisfait,Très satisfait,Satisfait,Motivé,oui,Oui,Oui
00000000089,00000000000000000000089000,IP_89,LOC89,Structure_89,857,PPSP_857,1087,Homme,21,Non,1989,.74653244,0,97,1807,Secteur_9,2,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Très satisfait,Motivé,oui,Oui,Oui
00000000090,00000000000000000000090000,IP_90,LOC90,Structure_90,375,PPSP_375,901,Femme,36,Non,2017,.80596143,0,117,1516,Secteur_9,7,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Satisfait,Très satisfait,Un peu motivé,oui,Oui,Non
00000000091,00000000000000000000091000,IP_91,LOC91,Structure_91,717,PPSP_717,467,Homme,29,Non,2018,.044725187,0,117,1442,Secteur_6,2,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Non
00000000092,00000000000000000000092000,IP_92,LOC92,Structure_92,405,PPSP_405,1422,Homme,26,Non,1999,.42755339,0,113,1761,Secteur_3,6,Non,Oui,Oui,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Motivé,oui,Oui,Non
00000000093,00000000000000000000093000,IP_93,LOC93,Structure_93,27,PPSP_27,53,Homme,35,Non,2013,.14021474,0,112,1555,Secteur_8,5,Oui,Oui,Non,Très insatisfait,Satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,non,Oui,Oui
00000000094,00000000000000000000094000,IP_94,LOC94,Structure_94,843,PPSP_843,1875,Homme,31,Non,1994,.484198,0,111,1523,Secteur_9,5,Oui,Non,Oui,Très insatisfait,Très satisfait,Satisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Oui
00000000095,00000000000000000000095000,IP_95,LOC95,Structure_95,752,PPSP_752,722,Femme,35,Non,2016,.24838041,0,119,1818,Secteur_9,5,Oui,Oui,Non,Très satisfait,Satisfait,Très satisfait,Très satisfait,Pas dutout motivé,non,Oui,Oui
00000000096,00000000000000000000096000,IP_96,LOC96,Structure_96,648,PPSP_648,685,Homme,52,Non,2022,.69815361,0,129,1493,Secteur_2,1,Oui,Non,Non,Très insatisfait,Satisfait,Très satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Oui
00000000097,00000000000000000000097000,IP_97,LOC97,Structure_97,668,PPSP_668,1777,Femme,28,Non,2012,.14248489,0,95,1553,Secteur_6,1,Oui,Oui,Non,Très satisfait,Très satisfait,Très satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Oui
00000000098,00000000000000000000098000,IP_98,LOC98,Structure_98,572,PPSP_572,593,Femme,26,Non,1990,.054494198,0,117,1683,Secteur_7,8,Oui,Oui,Non,Très satisfait,Très insatisfait,Très satisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Non
00000000099,00000000000000000000099000,IP_99,LOC99,Structure_99,459,PPSP_459,1822,Homme,32,Non,2005,.34187269,0,88,1682,Secteur_7,5,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très satisfait,Très satisfait,Un peu motivé,non,Non,Non
00000000100,00000000000000000000100000,IP_100,LOC100,Structure_100,391,PPSP_391,32,Femme,36,Non,2006,.61787653,0,99,1447,Secteur_3,3,Non,Non,Oui,Très satisfait,Très satisfait,Très satisfait,Satisfait,Motivé,non,Oui,Oui
00000000101,00000000000000000000101000,IP_101,LOC101,Structure_101,181,PPSP_181,1066,Homme,60,Non,2022,.97925305,0,95,1788,Secteur_9,3,Oui,Non,Non,Très insatisfait,Satisfait,Très satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Non
00000000102,00000000000000000000102000,IP_102,LOC102,Structure_102,926,PPSP_926,1063,Homme,42,Non,2009,.71741664,0,96,1756,Secteur_5,3,Oui,Oui,Oui,Satisfait,Satisfait,Très satisfait,Très insatisfait,Un peu motivé,non,Oui,Non
